@timestamp,agent.hostname,source.ip,source.port,destination.ip,destination.port,network.transport,network.packets,destination.bytes,source.bytes,bytes_in,bytes_out,Technique
"Oct 24, 2022 @ 13:26:30.002",dbserver,10.0.0.20,60008,10.0.0.21,0,0,2,56,76,0,0,0
"Oct 24, 2022 @ 13:26:30.002",webserver,10.0.0.20,60008,10.0.0.21,0,0,2,56,76,0,0,0
"Oct 24, 2022 @ 13:26:30.002",webserver,10.0.0.20,42848,10.0.0.21,1,0,2,56,76,0,0,0
"Oct 24, 2022 @ 13:26:30.002",dbserver,10.0.0.20,42848,10.0.0.21,1,0,2,56,76,0,0,0
"Sep 29, 2022 @ 13:30:40.016",webserver0logs,192.168.91.128,33480,192.168.91.1,1,tcp,7,0,518,0,0,1
"Sep 29, 2022 @ 13:30:40.016",webserver0logs,192.168.91.128,33480,192.168.91.1,1,tcp,7,0,518,0,0,1
"Sep 29, 2022 @ 13:30:50.020",webserver0logs,192.168.91.128,33480,192.168.91.1,1,tcp,7,0,518,0,0,1
"Sep 29, 2022 @ 13:30:50.020",webserver0logs,192.168.91.128,33480,192.168.91.1,1,tcp,7,0,518,0,0,1
"Sep 29, 2022 @ 13:31:00.018",webserver0logs,192.168.91.128,33480,192.168.91.1,1,tcp,7,0,518,0,0,1
"Sep 29, 2022 @ 13:31:00.018",webserver0logs,192.168.91.128,33480,192.168.91.1,1,tcp,7,0,518,0,0,1
"Sep 29, 2022 @ 13:33:20.026",webserver0logs,192.168.91.128,33482,192.168.91.1,1,tcp,4,0,296,0,0,1
"Sep 29, 2022 @ 13:33:20.026",webserver0logs,192.168.91.128,33482,192.168.91.1,1,tcp,4,0,296,0,0,1
"Sep 29, 2022 @ 13:33:30.016",webserver0logs,192.168.91.128,33482,192.168.91.1,1,tcp,5,0,370,0,0,1
"Sep 29, 2022 @ 13:33:30.016",webserver0logs,192.168.91.128,33482,192.168.91.1,1,tcp,5,0,370,0,0,1
"Sep 29, 2022 @ 13:33:40.020",webserver0logs,192.168.91.128,33482,192.168.91.1,1,tcp,5,0,370,0,0,1
"Sep 29, 2022 @ 13:33:40.020",webserver0logs,192.168.91.128,33482,192.168.91.1,1,tcp,5,0,370,0,0,1
"Sep 29, 2022 @ 13:33:50.021",webserver0logs,192.168.91.128,33482,192.168.91.1,1,tcp,6,0,444,0,0,1
"Sep 29, 2022 @ 13:33:50.021",webserver0logs,192.168.91.128,33482,192.168.91.1,1,tcp,6,0,444,0,0,1
"Sep 29, 2022 @ 13:34:00.025",webserver0logs,192.168.91.128,33482,192.168.91.1,1,tcp,6,0,444,0,0,1
"Sep 29, 2022 @ 13:34:00.025",webserver0logs,192.168.91.128,33482,192.168.91.1,1,tcp,6,0,444,0,0,1
"Sep 29, 2022 @ 13:34:10.018",webserver0logs,192.168.91.128,33482,192.168.91.1,1,tcp,6,0,444,0,0,1
"Sep 29, 2022 @ 13:34:10.018",webserver0logs,192.168.91.128,33482,192.168.91.1,1,tcp,6,0,444,0,0,1
"Sep 29, 2022 @ 13:34:20.018",webserver0logs,192.168.91.128,33482,192.168.91.1,1,tcp,7,0,518,0,0,1
"Sep 29, 2022 @ 13:34:20.018",webserver0logs,192.168.91.128,33482,192.168.91.1,1,tcp,7,0,518,0,0,1
"Sep 29, 2022 @ 13:34:30.020",webserver0logs,192.168.91.128,33482,192.168.91.1,1,tcp,7,0,518,0,0,1
"Sep 29, 2022 @ 13:34:30.020",webserver0logs,192.168.91.128,33482,192.168.91.1,1,tcp,7,0,518,0,0,1
"Sep 29, 2022 @ 13:34:40.017",webserver0logs,192.168.91.128,33482,192.168.91.1,1,tcp,7,0,518,0,0,1
"Sep 29, 2022 @ 13:34:40.017",webserver0logs,192.168.91.128,33482,192.168.91.1,1,tcp,7,0,518,0,0,1
"Sep 29, 2022 @ 13:34:50.013",webserver0logs,192.168.91.128,33482,192.168.91.1,1,tcp,7,0,518,0,0,1
"Sep 29, 2022 @ 13:34:50.013",webserver0logs,192.168.91.128,33482,192.168.91.1,1,tcp,7,0,518,0,0,1
"Sep 29, 2022 @ 13:35:00.019",webserver0logs,192.168.91.128,33482,192.168.91.1,1,tcp,7,0,518,0,0,1
"Sep 29, 2022 @ 13:35:00.019",webserver0logs,192.168.91.128,33482,192.168.91.1,1,tcp,7,0,518,0,0,1
"Oct 24, 2022 @ 13:26:30.002",dbserver,10.0.0.20,58608,10.0.0.21,2,0,2,56,76,0,0,0
"Oct 24, 2022 @ 13:26:30.002",webserver,10.0.0.20,58608,10.0.0.21,2,0,2,56,76,0,0,0
"Sep 29, 2022 @ 13:31:20.014",webserver0logs,192.168.91.128,58678,192.168.91.1,2,tcp,1,0,74,0,0,1
"Sep 29, 2022 @ 13:31:20.014",webserver0logs,192.168.91.128,58678,192.168.91.1,2,tcp,1,0,74,0,0,1
