,Unnamed: 0,event.start,event.end,@timestamp,agent.ephemeral_id,destination.bytes,destination.ip,destination.mac,destination.packets,destination.port,event.duration,event.type,flow.final,flow.id,host.ip,host.mac,network.bytes,network.community_id,network.packets,network.transport,network.type,source.bytes,source.ip,source.mac,source.packets,source.port,Binary
0,596,153,148,29,0,1,0,0,1,79,192,0,0,137,1,1,1,29,1,0,0,0,0,0,0,405,0
1,596,153,148,29,0,1,0,0,1,380,76,0,0,137,1,1,1,29,1,0,0,0,0,0,0,13,0
2,596,153,148,29,0,1,0,0,1,392,137,0,0,137,1,1,1,29,1,0,0,0,0,0,0,319,0
3,439,129,122,14,0,0,0,0,0,1,0,0,0,37,1,1,0,34,0,0,0,0,0,0,0,555,1
4,24,24,23,0,0,0,0,0,0,74,0,1,1,30,1,1,0,83,0,0,0,0,0,0,0,399,1
5,596,153,148,29,0,1,0,0,1,388,100,0,0,137,1,1,1,29,1,0,0,0,0,0,0,445,0
6,503,136,129,15,0,0,0,0,0,8,0,0,0,58,1,1,0,144,0,0,0,0,0,0,0,102,1
7,596,153,148,29,0,1,0,0,1,288,133,0,0,137,1,1,1,29,1,0,0,0,0,0,0,592,0
8,596,153,148,29,0,1,0,0,1,88,171,0,0,137,1,1,1,29,1,0,0,0,0,0,0,141,0
9,539,141,134,15,0,0,0,0,0,13,14,0,0,70,1,1,2,132,1,0,0,1,0,0,1,481,1
10,73,42,40,3,0,0,0,0,0,92,0,1,1,28,1,1,0,107,0,0,0,0,0,0,0,314,1
11,596,153,148,29,0,1,0,0,1,310,110,0,0,137,1,1,1,29,1,0,0,0,0,0,0,294,0
12,596,153,148,29,0,1,0,0,1,203,96,0,0,137,1,1,1,29,1,0,0,0,0,0,0,110,0
13,596,153,148,29,0,1,0,0,1,181,136,0,0,137,1,1,1,29,1,0,0,0,0,0,0,330,0
14,450,130,123,14,0,0,0,0,0,2,0,0,0,105,1,1,0,59,0,0,0,0,0,0,0,52,1
15,596,153,148,29,0,1,0,0,1,148,62,0,0,137,1,1,1,29,1,0,0,0,0,0,0,373,0
16,596,153,148,29,0,1,0,0,1,194,158,0,0,137,1,1,1,29,1,0,0,0,0,0,0,473,0
17,123,54,51,2,0,0,0,0,0,104,0,0,0,80,1,1,0,152,0,0,0,0,0,0,0,439,1
18,410,119,113,8,0,0,0,0,0,169,0,0,0,97,1,1,0,27,0,0,0,0,0,0,0,100,1
19,596,153,148,29,0,1,0,0,1,153,74,0,0,137,1,1,1,29,1,0,0,0,0,0,0,72,0
20,596,153,148,29,0,1,0,0,1,93,240,0,0,137,1,1,1,29,1,0,0,0,0,0,0,510,0
21,596,153,148,29,0,1,0,0,1,348,71,0,0,137,1,1,1,29,1,0,0,0,0,0,0,465,0
22,398,115,109,7,0,0,0,0,0,165,0,0,0,104,1,1,0,80,0,0,0,0,0,0,0,377,1
23,596,153,148,29,0,1,0,0,1,373,139,0,0,137,1,1,1,29,1,0,0,0,0,0,0,561,0
24,544,141,134,13,0,0,0,0,0,13,14,0,0,70,1,1,2,132,1,0,0,1,0,0,1,481,1
25,596,153,148,29,0,1,0,0,1,399,78,0,0,137,1,1,1,29,1,0,0,0,0,0,0,63,1
26,596,153,148,29,0,1,0,0,1,119,81,0,0,137,1,1,1,29,1,0,0,0,0,0,0,307,0
27,300,91,86,8,0,0,0,0,0,141,0,0,0,148,1,1,0,93,0,0,0,0,0,0,0,101,1
28,13,13,12,0,0,0,0,0,0,63,0,1,1,29,1,1,0,13,0,0,0,0,0,0,0,50,1
29,313,94,89,7,0,0,0,0,0,144,0,0,0,51,1,1,0,128,0,0,0,0,0,0,0,37,1
30,204,70,66,3,0,0,0,0,0,120,0,0,0,92,1,1,0,73,0,0,0,0,0,0,0,331,1
31,596,153,148,29,0,1,0,0,1,155,57,0,0,137,1,1,1,29,1,0,0,0,0,0,0,162,0
32,18,18,17,0,0,0,0,0,0,68,0,1,1,67,1,1,0,66,0,0,0,0,0,0,0,315,1
33,426,127,120,7,0,0,0,0,0,177,0,0,0,116,1,1,0,111,0,0,0,0,0,0,0,332,1
34,514,138,131,15,0,0,0,0,0,10,0,0,0,143,1,1,0,10,0,0,0,0,0,0,0,378,1
35,308,93,88,7,0,0,0,0,0,143,0,0,0,142,1,1,0,78,0,0,0,0,0,0,0,121,1
36,596,153,148,29,0,1,0,0,1,260,43,0,0,137,1,1,1,29,1,0,0,0,0,0,0,59,0
37,596,153,148,29,0,1,0,0,1,402,42,0,0,137,1,1,1,29,1,0,0,0,0,0,0,17,0
38,28,28,27,0,0,0,0,0,0,78,0,1,1,48,1,1,0,112,0,0,0,0,0,0,0,596,0
39,421,125,118,8,0,0,0,0,0,175,0,0,0,86,1,1,0,11,0,0,0,0,0,0,0,458,1
40,507,137,130,16,0,0,0,0,0,9,0,1,1,150,1,1,0,143,0,0,0,0,0,0,0,106,1
41,596,153,148,29,0,1,0,0,1,399,78,0,0,137,1,1,1,29,1,0,0,0,0,0,0,63,0
42,488,134,127,14,0,0,0,0,0,6,0,0,0,69,1,1,0,46,0,0,0,0,0,0,0,34,1
43,596,153,148,29,0,1,0,0,1,411,149,0,0,137,1,1,1,29,1,0,0,0,0,0,0,571,0
44,99,48,45,0,0,0,0,0,0,98,0,0,0,132,1,1,0,4,0,0,0,0,0,0,0,105,1
45,129,56,53,1,0,0,0,0,0,106,0,0,0,77,1,1,0,138,0,0,0,0,0,0,0,146,1
