,Unnamed: 0,event.start,event.end,@timestamp,agent.ephemeral_id,destination.bytes,destination.ip,destination.mac,destination.packets,destination.port,event.duration,event.type,flow.final,flow.id,host.ip,host.mac,network.bytes,network.community_id,network.packets,network.transport,network.type,source.bytes,source.ip,source.mac,source.packets,source.port,Binary
0,794,153,148,29,0,56,0,0,1,79,8040.0,0,0,137,1,1,132,29,2,0,0,74,0,0,1,403,0
1,794,153,148,29,0,56,0,0,1,380,6340.0,0,0,137,1,1,132,29,2,0,0,74,0,0,1,16,0
2,794,153,148,29,0,56,0,0,1,392,7190.0,0,0,137,1,1,132,29,2,0,0,74,0,0,1,321,0
3,559,129,122,14,0,0,0,0,0,1,0.0,0,0,37,1,1,74,34,1,0,0,74,0,0,1,547,1
4,92,24,23,0,0,0,0,0,0,74,0.0,1,1,30,1,1,74,83,1,0,0,74,0,0,1,386,1
5,794,153,148,29,0,56,0,0,1,388,6580.0,0,0,137,1,1,132,29,2,0,0,74,0,0,1,447,0
6,623,136,129,15,0,0,0,0,0,8,0.0,0,0,58,1,1,74,144,1,0,0,74,0,0,1,86,1
7,794,153,148,29,0,56,0,0,1,288,7140.0,0,0,137,1,1,132,29,2,0,0,74,0,0,1,591,0
8,794,153,148,29,0,56,0,0,1,88,7760.0,0,0,137,1,1,132,29,2,0,0,74,0,0,1,147,0
9,659,141,134,15,0,0,0,0,0,13,1026257300.0,0,0,70,1,1,148,132,2,0,0,148,0,0,2,464,1
10,154,42,40,3,0,0,0,0,0,92,0.0,1,1,28,1,1,74,107,1,0,0,74,0,0,1,303,1
11,794,153,148,29,0,56,0,0,1,310,6720.0,0,0,137,1,1,132,29,2,0,0,74,0,0,1,295,0
12,794,153,148,29,0,56,0,0,1,203,6540.0,0,0,137,1,1,132,29,2,0,0,74,0,0,1,112,0
13,794,153,148,29,0,56,0,0,1,181,7180.0,0,0,137,1,1,132,29,2,0,0,74,0,0,1,334,0
14,570,130,123,14,0,0,0,0,0,2,0.0,0,0,105,1,1,74,59,1,0,0,74,0,0,1,46,1
15,794,153,148,29,0,56,0,0,1,148,6230.0,0,0,137,1,1,132,29,2,0,0,74,0,0,1,380,0
16,794,153,148,29,0,56,0,0,1,194,7520.0,0,0,137,1,1,132,29,2,0,0,74,0,0,1,478,0
17,204,54,51,2,0,0,0,0,0,104,0.0,0,0,80,1,1,74,152,1,0,0,74,0,0,1,435,1
18,496,119,113,8,0,0,0,0,0,169,0.0,0,0,97,1,1,74,27,1,0,0,74,0,0,1,84,1
19,794,153,148,29,0,56,0,0,1,153,6320.0,0,0,137,1,1,132,29,2,0,0,74,0,0,1,78,0
20,794,153,148,29,0,56,0,0,1,93,9940.0,0,0,137,1,1,132,29,2,0,0,74,0,0,1,508,0
21,794,153,148,29,0,56,0,0,1,348,6290.0,0,0,137,1,1,132,29,2,0,0,74,0,0,1,465,0
22,484,115,109,7,0,0,0,0,0,165,0.0,0,0,104,1,1,74,80,1,0,0,74,0,0,1,365,1
23,794,153,148,29,0,56,0,0,1,373,7230.0,0,0,137,1,1,132,29,2,0,0,74,0,0,1,560,0
24,664,141,134,13,0,0,0,0,0,13,1026257300.0,0,0,70,1,1,148,132,2,0,0,148,0,0,2,464,1
25,794,153,148,29,0,56,0,0,1,399,6360.0,0,0,137,1,1,132,29,2,0,0,74,0,0,1,64,1
26,794,153,148,29,0,56,0,0,1,119,6390.0,0,0,137,1,1,132,29,2,0,0,74,0,0,1,311,0
27,386,91,86,8,0,0,0,0,0,141,0.0,0,0,148,1,1,74,93,1,0,0,74,0,0,1,85,1
28,79,13,12,0,0,0,0,0,0,63,0.0,1,1,29,1,1,74,13,1,0,0,74,0,0,1,41,1
29,399,94,89,7,0,0,0,0,0,144,0.0,0,0,51,1,1,74,128,1,0,0,74,0,0,1,31,1
30,285,70,66,3,0,0,0,0,0,120,0.0,0,0,92,1,1,74,73,1,0,0,74,0,0,1,318,1
31,794,153,148,29,0,56,0,0,1,155,6180.0,0,0,137,1,1,132,29,2,0,0,74,0,0,1,163,0
32,86,18,17,0,0,0,0,0,0,68,0.0,1,1,67,1,1,74,66,1,0,0,74,0,0,1,304,1
33,512,127,120,7,0,0,0,0,0,177,0.0,0,0,116,1,1,74,111,1,0,0,74,0,0,1,319,1
34,634,138,131,15,0,0,0,0,0,10,0.0,0,0,143,1,1,74,10,1,0,0,74,0,0,1,366,1
35,394,93,88,7,0,0,0,0,0,143,0.0,0,0,142,1,1,74,78,1,0,0,74,0,0,1,119,1
36,794,153,148,29,0,56,0,0,1,260,23900.0,0,0,137,1,1,132,29,2,0,0,74,0,0,1,60,0
37,794,153,148,29,0,56,0,0,1,402,23500.0,0,0,137,1,1,132,29,2,0,0,74,0,0,1,23,0
38,100,28,27,0,0,0,0,0,0,78,0.0,1,1,48,1,1,74,112,1,0,0,74,0,0,1,581,0
39,507,125,118,8,0,0,0,0,0,175,0.0,0,0,86,1,1,74,11,1,0,0,74,0,0,1,455,1
40,627,137,130,16,0,0,0,0,0,9,0.0,1,1,150,1,1,74,143,1,0,0,74,0,0,1,104,1
41,794,153,148,29,0,56,0,0,1,399,6360.0,0,0,137,1,1,132,29,2,0,0,74,0,0,1,64,0
42,608,134,127,14,0,0,0,0,0,6,0.0,0,0,69,1,1,74,46,1,0,0,74,0,0,1,28,1
43,794,153,148,29,0,56,0,0,1,411,7360.0,0,0,137,1,1,132,29,2,0,0,74,0,0,1,570,0
44,180,48,45,0,0,0,0,0,0,98,0.0,0,0,132,1,1,74,4,1,0,0,74,0,0,1,98,1
45,210,56,53,1,0,0,0,0,0,106,0.0,0,0,77,1,1,74,138,1,0,0,74,0,0,1,131,1
46,94,26,25,0,1,116,0,0,2,76,507400.0,0,0,153,0,0,370,151,6,0,0,254,0,0,4,331,0
47,794,153,148,29,0,56,0,0,1,466,6330.0,0,0,137,1,1,132,29,2,0,0,74,0,0,1,354,0
48,794,153,148,29,0,56,0,0,1,132,6160.0,0,0,137,1,1,132,29,2,0,0,74,0,0,1,445,0
49,794,153,148,29,0,56,0,0,1,19,8050.0,0,0,137,1,1,132,29,2,0,0,74,0,0,1,391,0
50,276,69,65,2,0,0,0,0,0,119,0.0,0,0,74,1,1,74,64,1,0,0,74,0,0,1,343,1
51,311,75,71,4,0,0,0,0,0,125,0.0,0,0,64,1,1,74,109,1,0,0,74,0,0,1,129,1
52,248,64,60,2,0,0,0,0,0,114,0.0,0,0,103,1,1,74,113,1,0,0,74,0,0,1,150,1
53,794,153,148,29,0,56,0,0,1,64,6400.0,0,0,137,1,1,132,29,2,0,0,74,0,0,1,342,0
54,150,41,39,3,0,0,0,0,0,91,0.0,1,1,127,1,1,74,97,1,0,0,74,0,0,1,502,0
55,642,139,132,15,0,0,0,0,0,11,0.0,0,0,128,1,1,74,74,1,0,0,74,0,0,1,211,1
56,794,153,148,29,0,56,0,0,1,73,7750.0,0,0,137,1,1,132,29,2,0,0,74,0,0,1,143,0
57,291,71,67,4,0,0,0,0,0,121,0.0,0,0,83,1,1,74,48,1,0,0,74,0,0,1,417,1
58,794,153,148,29,0,56,0,0,1,446,6420.0,0,0,137,1,1,132,29,2,0,0,74,0,0,1,392,0
59,794,153,148,29,0,56,0,0,1,96,13490.0,0,0,137,1,1,132,29,2,0,0,74,0,0,1,333,0
60,794,153,148,29,0,56,0,0,1,81,7940.0,0,0,137,1,1,132,29,2,0,0,74,0,0,1,272,0
61,794,153,148,29,0,56,0,0,1,106,7880.0,0,0,137,1,1,132,29,2,0,0,74,0,0,1,187,0
62,173,46,43,1,0,0,0,0,0,96,0.0,0,0,73,1,1,74,95,1,0,0,74,0,0,1,69,1
63,79,13,12,0,0,0,0,0,0,63,0.0,1,1,29,1,1,74,13,1,0,0,74,0,0,1,41,1
64,305,74,70,5,0,0,0,0,0,124,0.0,0,0,126,1,1,74,68,1,0,0,74,0,0,1,466,1
65,794,153,148,29,0,56,0,0,1,292,8160.0,0,0,137,1,1,132,29,2,0,0,74,0,0,1,156,0
66,794,153,148,29,0,56,0,0,1,60,6390.0,0,0,137,1,1,132,29,2,0,0,74,0,0,1,24,0
67,794,153,148,29,0,56,0,0,1,22,7130.0,0,0,137,1,1,132,29,2,0,0,74,0,0,1,345,0
68,74,8,7,0,0,0,0,0,0,58,0.0,1,1,18,1,1,74,122,1,0,0,74,0,0,1,250,1
69,794,153,148,29,0,56,0,0,1,154,6260.0,0,0,137,1,1,132,29,2,0,0,74,0,0,1,584,0
70,794,153,148,29,0,56,0,0,1,267,6280.0,0,0,137,1,1,132,29,2,0,0,74,0,0,1,313,0
71,346,82,78,4,0,0,0,0,0,132,0.0,0,0,21,1,1,74,0,1,0,0,74,0,0,1,14,1
72,794,153,148,29,0,56,0,0,1,29,6330.0,0,0,137,1,1,132,29,2,0,0,74,0,0,1,324,0
73,214,57,54,3,0,0,0,0,0,107,0.0,1,1,65,1,1,74,133,1,0,0,74,0,0,1,235,1
74,241,63,59,5,0,0,0,0,0,113,0.0,0,0,20,1,1,74,140,1,0,0,74,0,0,1,474,1
75,147,40,38,1,0,0,0,0,0,90,0.0,0,0,45,1,1,74,103,1,0,0,74,0,0,1,128,1
76,195,52,49,2,0,0,0,0,0,102,0.0,0,0,4,1,1,74,77,1,0,0,74,0,0,1,54,1
77,262,66,62,1,0,0,0,0,0,116,0.0,0,0,35,1,1,74,69,1,0,0,74,0,0,1,298,1
78,597,133,126,16,0,0,0,0,0,5,0.0,1,1,113,1,1,74,91,1,0,0,74,0,0,1,144,1
79,794,153,148,29,0,56,0,0,1,219,7070.0,0,0,137,1,1,132,29,2,0,0,74,0,0,1,165,0
80,794,153,148,29,0,56,0,0,1,252,6230.0,0,0,137,1,1,132,29,2,0,0,74,0,0,1,327,0
81,94,26,25,0,1,116,0,0,2,76,507400.0,0,0,153,0,0,370,151,6,0,0,254,0,0,4,331,0
82,794,153,148,29,0,56,0,0,1,197,19560.0,0,0,137,1,1,132,29,2,0,0,74,0,0,1,368,0
83,114,32,31,0,0,0,0,0,0,82,0.0,0,0,54,1,1,74,52,1,0,0,74,0,0,1,589,1
84,71,5,4,0,0,0,0,0,0,55,0.0,1,1,109,1,1,74,94,1,0,0,74,0,0,1,491,1
