,Unnamed: 0,destination.bytes,destination.packets,event.duration,network.bytes,network.packets,source.bytes,source.packets,Binary
0,794,56,1,8040.0,132,2,74,1,0
1,794,56,1,6340.0,132,2,74,1,0
2,794,56,1,7190.0,132,2,74,1,0
3,559,0,0,0.0,74,1,74,1,1
4,92,0,0,0.0,74,1,74,1,1
5,794,56,1,6580.0,132,2,74,1,0
6,623,0,0,0.0,74,1,74,1,1
7,794,56,1,7140.0,132,2,74,1,0
8,794,56,1,7760.0,132,2,74,1,0
9,659,0,0,1026257300.0,148,2,148,2,1
10,154,0,0,0.0,74,1,74,1,1
11,794,56,1,6720.0,132,2,74,1,0
12,794,56,1,6540.0,132,2,74,1,0
13,794,56,1,7180.0,132,2,74,1,0
14,570,0,0,0.0,74,1,74,1,1
15,794,56,1,6230.0,132,2,74,1,0
16,794,56,1,7520.0,132,2,74,1,0
17,204,0,0,0.0,74,1,74,1,1
18,496,0,0,0.0,74,1,74,1,1
19,794,56,1,6320.0,132,2,74,1,0
20,794,56,1,9940.0,132,2,74,1,0
21,794,56,1,6290.0,132,2,74,1,0
22,484,0,0,0.0,74,1,74,1,1
23,794,56,1,7230.0,132,2,74,1,0
24,664,0,0,1026257300.0,148,2,148,2,1
25,794,56,1,6360.0,132,2,74,1,1
26,794,56,1,6390.0,132,2,74,1,0
27,386,0,0,0.0,74,1,74,1,1
28,79,0,0,0.0,74,1,74,1,1
29,399,0,0,0.0,74,1,74,1,1
30,285,0,0,0.0,74,1,74,1,1
31,794,56,1,6180.0,132,2,74,1,0
32,86,0,0,0.0,74,1,74,1,1
33,512,0,0,0.0,74,1,74,1,1
34,634,0,0,0.0,74,1,74,1,1
35,394,0,0,0.0,74,1,74,1,1
36,794,56,1,23900.0,132,2,74,1,0
37,794,56,1,23500.0,132,2,74,1,0
38,100,0,0,0.0,74,1,74,1,0
39,507,0,0,0.0,74,1,74,1,1
40,627,0,0,0.0,74,1,74,1,1
41,794,56,1,6360.0,132,2,74,1,0
42,608,0,0,0.0,74,1,74,1,1
43,794,56,1,7360.0,132,2,74,1,0
44,180,0,0,0.0,74,1,74,1,1
45,210,0,0,0.0,74,1,74,1,1
46,94,116,2,507400.0,370,6,254,4,0
47,794,56,1,6330.0,132,2,74,1,0
48,794,56,1,6160.0,132,2,74,1,0
49,794,56,1,8050.0,132,2,74,1,0
50,276,0,0,0.0,74,1,74,1,1
51,311,0,0,0.0,74,1,74,1,1
52,248,0,0,0.0,74,1,74,1,1
53,794,56,1,6400.0,132,2,74,1,0
54,150,0,0,0.0,74,1,74,1,0
55,642,0,0,0.0,74,1,74,1,1
56,794,56,1,7750.0,132,2,74,1,0
57,291,0,0,0.0,74,1,74,1,1
58,794,56,1,6420.0,132,2,74,1,0
59,794,56,1,13490.0,132,2,74,1,0
60,794,56,1,7940.0,132,2,74,1,0
61,794,56,1,7880.0,132,2,74,1,0
62,173,0,0,0.0,74,1,74,1,1
63,79,0,0,0.0,74,1,74,1,1
64,305,0,0,0.0,74,1,74,1,1
65,794,56,1,8160.0,132,2,74,1,0
66,794,56,1,6390.0,132,2,74,1,0
67,794,56,1,7130.0,132,2,74,1,0
68,74,0,0,0.0,74,1,74,1,1
69,794,56,1,6260.0,132,2,74,1,0
70,794,56,1,6280.0,132,2,74,1,0
71,346,0,0,0.0,74,1,74,1,1
72,794,56,1,6330.0,132,2,74,1,0
73,214,0,0,0.0,74,1,74,1,1
74,241,0,0,0.0,74,1,74,1,1
75,147,0,0,0.0,74,1,74,1,1
76,195,0,0,0.0,74,1,74,1,1
77,262,0,0,0.0,74,1,74,1,1
78,597,0,0,0.0,74,1,74,1,1
79,794,56,1,7070.0,132,2,74,1,0
80,794,56,1,6230.0,132,2,74,1,0
81,94,116,2,507400.0,370,6,254,4,0
82,794,56,1,19560.0,132,2,74,1,0
83,114,0,0,0.0,74,1,74,1,1
84,71,0,0,0.0,74,1,74,1,1
85,456,0,0,0.0,74,1,74,1,1
86,793,0,0,0.0,74,1,74,1,1
87,794,56,1,6340.0,132,2,74,1,0
88,118,0,0,0.0,74,1,74,1,1
89,214,0,0,0.0,74,1,74,1,1
90,576,0,0,0.0,74,1,74,1,1
91,495,0,0,0.0,74,1,74,1,1
92,794,56,1,6370.0,132,2,74,1,0
93,794,56,1,6850.0,132,2,74,1,0
94,395,0,0,0.0,74,1,74,1,1
95,181,0,0,0.0,74,1,74,1,1
96,457,0,0,0.0,74,1,74,1,1
97,794,56,1,6290.0,132,2,74,1,0
98,794,56,1,6350.0,132,2,74,1,0
99,780,0,0,0.0,74,1,74,1,1
100,109,0,0,0.0,74,1,74,1,1
